date,value
01/01/2019,0.32
01/02/2019,-0.08
01/03/2019,0.11
01/04/2019,0.44
01/05/2019,0.68
01/06/2019,0.55
01/07/2019,0.31
01/08/2019,0.12
01/09/2019,-0.27
01/10/2019,0.02
01/11/2019,0.14
01/12/2019,0.34
01/01/2020,0.39
01/02/2020,0.28
01/03/2020,0.1
01/04/2020,0.08
01/05/2020,0.07
01/06/2020,0.18
01/07/2020,-0.1
01/08/2020,-0.05
01/09/2020,-0.05
01/10/2020,0.07
01/11/2020,0.28
01/12/2020,0.45
01/01/2021,0.26
01/02/2021,0.1
01/03/2021,0.08
01/04/2021,0.13
01/05/2021,0.32
01/06/2021,-0.16
01/07/2021,0.08
01/08/2021,0.03
01/09/2021,-0.04
01/10/2021,-0.12
01/11/2021,0.37
01/12/2021,0.57
01/01/2022,0.56
01/02/2022,-0.02
01/03/2022,0.66
01/04/2022,0.95
01/05/2022,0.4
01/06/2022,0.61
01/07/2022,0.64
01/08/2022,-0.21
01/09/2022,1.17
01/10/2022,-0.11
01/11/2022,0.09
01/12/2022,0.66
01/01/2023,0.34
01/02/2023,0.16
01/03/2023,0.18
01/04/2023,0.33
01/05/2023,0.09
01/06/2023,0.14
01/07/2023,0.21
01/08/2023,-0.02
01/09/2023,0.19
01/10/2023,0.17
01/11/2023,0.38
01/12/2023,0.41
01/01/2024,0.04
01/02/2024,0.37
01/03/2024,0.52
01/04/2024,0.25
01/05/2024,-0.03
01/06/2024,-0.08
01/07/2024,-0.18
01/08/2024,-0.03
01/09/2024,-0.12
