year,category,currency,value
2014,poor,idr,0
2014,poor,idr,302735
2014,poor,usd ppp,0
2014,poor,usd ppp,2.093666667
2014,vulnerable,idr,302735
2014,vulnerable,idr,454102.5
2014,vulnerable,usd ppp,2.093666667
2014,vulnerable,usd ppp,3.140500001
2014,amc,idr,454102.5
2014,amc,idr,1059572.5
2014,amc,usd ppp,3.140500001
2014,amc,usd ppp,7.327833334499999
2014,mc,idr,1059572.5
2014,mc,idr,5146495
2014,mc,usd ppp,7.327833334499999
2014,mc,usd ppp,35.59233334
2014,uc,idr,5146495
2014,uc,idr,inf
2014,uc,usd ppp,35.59233334
2014,uc,usd ppp,inf
2015,poor,idr,0
2015,poor,idr,330776
2015,poor,usd ppp,0
2015,poor,usd ppp,2.287666667
2015,vulnerable,idr,330776
2015,vulnerable,idr,496164
2015,vulnerable,usd ppp,2.287666667
2015,vulnerable,usd ppp,3.431500001
2015,amc,idr,496164
2015,amc,idr,1157716
2015,amc,usd ppp,3.431500001
2015,amc,usd ppp,8.006833335
2015,mc,idr,1157716
2015,mc,idr,5623192
2015,mc,usd ppp,8.006833335
2015,mc,usd ppp,38.890333338999994
2015,uc,idr,5623192
2015,uc,idr,inf
2015,uc,usd ppp,38.890333338999994
2015,uc,usd ppp,inf
2016,poor,idr,0
2016,poor,idr,354386
2016,poor,usd ppp,0
2016,poor,usd ppp,2.451
2016,vulnerable,idr,354386
2016,vulnerable,idr,531579
2016,vulnerable,usd ppp,2.451
2016,vulnerable,usd ppp,3.6765
2016,amc,idr,531579
2016,amc,idr,1240351
2016,amc,usd ppp,3.6765
2016,amc,usd ppp,8.5785
2016,mc,idr,1240351
2016,mc,idr,6024562
2016,mc,usd ppp,8.5785
2016,mc,usd ppp,41.667
2016,uc,idr,6024562
2016,uc,idr,inf
2016,uc,usd ppp,41.667
2016,uc,usd ppp,inf
2017,poor,idr,0
2017,poor,idr,374478
2017,poor,usd ppp,0
2017,poor,usd ppp,2.59
2017,vulnerable,idr,374478
2017,vulnerable,idr,561717
2017,vulnerable,usd ppp,2.59
2017,vulnerable,usd ppp,3.885
2017,amc,idr,561717
2017,amc,idr,1310673
2017,amc,usd ppp,3.885
2017,amc,usd ppp,9.065
2017,mc,idr,1310673
2017,mc,idr,6366126
2017,mc,usd ppp,9.065
2017,mc,usd ppp,44.03
2017,uc,idr,6366126
2017,uc,idr,inf
2017,uc,usd ppp,44.03
2017,uc,usd ppp,inf
2018,poor,idr,0
2018,poor,idr,401220
2018,poor,usd ppp,0
2018,poor,usd ppp,2.774666667
2018,vulnerable,idr,401220
2018,vulnerable,idr,601830
2018,vulnerable,usd ppp,2.774666667
2018,vulnerable,usd ppp,4.162000001
2018,amc,idr,601830
2018,amc,idr,1404270
2018,amc,usd ppp,4.162000001
2018,amc,usd ppp,9.711333335
2018,mc,idr,1404270
2018,mc,idr,6820740
2018,mc,usd ppp,9.711333335
2018,mc,usd ppp,47.16933334
2018,uc,idr,6820740
2018,uc,idr,inf
2018,uc,usd ppp,47.16933334
2018,uc,usd ppp,inf
2019,poor,idr,0
2019,poor,idr,425250
2019,poor,usd ppp,0
2019,poor,usd ppp,2.941
2019,vulnerable,idr,425250
2019,vulnerable,idr,637875
2019,vulnerable,usd ppp,2.941
2019,vulnerable,usd ppp,4.4115
2019,amc,idr,637875
2019,amc,idr,1488375
2019,amc,usd ppp,4.4115
2019,amc,usd ppp,10.2935
2019,mc,idr,1488375
2019,mc,idr,7229250
2019,mc,usd ppp,10.2935
2019,mc,usd ppp,49.997
2019,uc,idr,7229250
2019,uc,idr,inf
2019,uc,usd ppp,49.997
2019,uc,usd ppp,inf
2020,poor,idr,0
2020,poor,idr,454652
2020,poor,usd ppp,0
2020,poor,usd ppp,3.144333333
2020,vulnerable,idr,454652
2020,vulnerable,idr,681978
2020,vulnerable,usd ppp,3.144333333
