year,province,category,value
2014.0,Aceh,amc,0.40802366027129916
2014.0,Aceh,mc,0.08511874930686282
2014.0,Aceh,poor,0.1689750420438452
2014.0,Aceh,uc,0.00020696124034444178
2014.0,Aceh,vulnerable,0.33767558713764834
2014.0,Bali,amc,0.3969604086092518
2014.0,Bali,mc,0.37202755103275714
2014.0,Bali,poor,0.040041762972159944
2014.0,Bali,uc,0.005547460644268999
2014.0,Bali,vulnerable,0.1854228167415622
2014.0,Banten,amc,0.4828944366010848
2014.0,Banten,mc,0.249661169882607
2014.0,Banten,poor,0.05293560573172631
2014.0,Banten,uc,0.005525696080696533
2014.0,Banten,vulnerable,0.2089830917038855
2014.0,Bengkulu,amc,0.43038553072166313
2014.0,Bengkulu,mc,0.11739431042767581
2014.0,Bengkulu,poor,0.160561529748129
2014.0,Bengkulu,uc,0.001250392781784878
2014.0,Bengkulu,vulnerable,0.2904082363207472
2014.0,DI Yogyakarta,amc,0.40765288201538624
2014.0,DI Yogyakarta,mc,0.1591786642147102
2014.0,DI Yogyakarta,poor,0.1329602730257042
2014.0,DI Yogyakarta,uc,0.0030820204938241803
2014.0,DI Yogyakarta,vulnerable,0.29712616025037514
2014.0,DKI Jakarta,amc,0.4519829381097526
2014.0,DKI Jakarta,mc,0.32624164057288085
2014.0,DKI Jakarta,poor,0.036539702418794145
2014.0,DKI Jakarta,uc,0.013020831179623979
2014.0,DKI Jakarta,vulnerable,0.17221488771894836
2014.0,Gorontalo,amc,0.320679476843643
2014.0,Gorontalo,mc,0.23058621573925803
2014.0,Gorontalo,poor,0.18596025613777373
2014.0,Gorontalo,uc,0.00535407340651065
2014.0,Gorontalo,vulnerable,0.25741997787281445
2014.0,Jambi,amc,0.4976711452252043
2014.0,Jambi,mc,0.13141796059607253
2014.0,Jambi,poor,0.08462767010640618
2014.0,Jambi,uc,0.0013661092594067677
2014.0,Jambi,vulnerable,0.28491711481291027
2014.0,Jawa Barat,amc,0.43972091537732116
2014.0,Jawa Barat,mc,0.20512565850884695
2014.0,Jawa Barat,poor,0.09421146637030695
2014.0,Jawa Barat,uc,0.004632416698080952
2014.0,Jawa Barat,vulnerable,0.256309543045444
2014.0,Jawa Tengah,amc,0.4243331191228541
2014.0,Jawa Tengah,mc,0.13694279610381424
2014.0,Jawa Tengah,poor,0.13967361654557928
2014.0,Jawa Tengah,uc,0.0028212456075158783
2014.0,Jawa Tengah,vulnerable,0.29622922262023654
2014.0,Jawa Timur,amc,0.44282962705382983
2014.0,Jawa Timur,mc,0.14169026682560518
2014.0,Jawa Timur,poor,0.12168199491562737
2014.0,Jawa Timur,uc,0.0044541350037508596
2014.0,Jawa Timur,vulnerable,0.28934397620118674
2014.0,Kalimantan Barat,amc,0.4630334016943653
2014.0,Kalimantan Barat,mc,0.20153579108238281
2014.0,Kalimantan Barat,poor,0.0809804866012834
2014.0,Kalimantan Barat,uc,0.0031978646151633425
2014.0,Kalimantan Barat,vulnerable,0.251252456006805
2014.0,Kalimantan Selatan,amc,0.5633415358924675
2014.0,Kalimantan Selatan,mc,0.20839709176605636
2014.0,Kalimantan Selatan,poor,0.03875665691304088
2014.0,Kalimantan Selatan,uc,0.0030967918767837005
2014.0,Kalimantan Selatan,vulnerable,0.18640792355165164
