year,province,category,value,,
2014,Aceh,amc,0.007947961,,
2014,Aceh,mc,0.001658042,,
2014,Aceh,poor,0.003291493,,
2014,Aceh,uc,4.0314327224668015e-06,,
2014,Aceh,vulnerable,0.006577639,,
2014,Bali,amc,0.006490172,,
2014,Bali,mc,0.006082528,,
2014,Bali,poor,0.00065467,,
2014,Bali,uc,9.069915091424697e-05,,
2014,Bali,vulnerable,0.003031602,,
2014,Banten,amc,0.022373239224821713,,
2014,Banten,mc,0.011567184576091414,,
2014,Banten,poor,0.002452588,,
2014,Banten,uc,0.000256014,,
2014,Banten,vulnerable,0.009682507,,
2014,Bengkulu,amc,0.003147,,
2014,Bengkulu,mc,0.000858393,,
2014,Bengkulu,poor,0.001174034,,
2014,Bengkulu,uc,9.14293404680699e-06,,
2014,Bengkulu,vulnerable,0.002123479,,
2014,DI Yogyakarta,amc,0.005930402,,
2014,DI Yogyakarta,mc,0.002315679,,
2014,DI Yogyakarta,poor,0.001934263,,
2014,DI Yogyakarta,uc,4.4836231728340213e-05,,
2014,DI Yogyakarta,vulnerable,0.004322495,,
2014,DKI Jakarta,amc,0.018069982,,
2014,DKI Jakarta,mc,0.013042927466444323,,
2014,DKI Jakarta,poor,0.001460833,,
2014,DKI Jakarta,uc,0.000520564,,
2014,DKI Jakarta,vulnerable,0.006885039,,
2014,Gorontalo,amc,0.001421471,,
2014,Gorontalo,mc,0.001022116,,
2014,Gorontalo,poor,0.000824303,,
2014,Gorontalo,uc,2.3732923139581198e-05,,
2014,Gorontalo,vulnerable,0.001141062,,
2014,Jambi,amc,0.006600096,,
2014,Jambi,mc,0.00174286,,
2014,Jambi,poor,0.001122329,,
2014,Jambi,uc,1.8117288256589462e-05,,
2014,Jambi,vulnerable,0.00377856,,
2014,Jawa Barat,amc,0.080235541,,
2014,Jawa Barat,mc,0.037429122835571954,,
2014,Jawa Barat,poor,0.017190694586564796,,
2014,Jawa Barat,uc,0.000845274,,
2014,Jawa Barat,vulnerable,0.046768607,,
2014,Jawa Tengah,amc,0.056404714564382744,,
2014,Jawa Tengah,mc,0.018203196917202614,,
2014,Jawa Tengah,poor,0.018566193,,
2014,Jawa Tengah,uc,0.000375016,,
2014,Jawa Tengah,vulnerable,0.039376433,,
2014,Jawa Timur,amc,0.067820819,,
2014,Jawa Timur,mc,0.021700332143455587,,
2014,Jawa Timur,poor,0.018635999244728713,,
2014,Jawa Timur,uc,0.000682165,,
2014,Jawa Timur,vulnerable,0.044313985201269966,,
2014,Kalimantan Barat,amc,0.008675025,,
2014,Kalimantan Barat,mc,0.003775814,,
